arjun is driving a red car,অর্জুন একটি লাল গাড়ি চালাচ্ছে
rohan is driving a blue car,রোহন একটি নীল গাড়ি চালাচ্ছে
puja bought a new computer,পূজা একটি নতুন কম্পিউটার কিনেছে
arjun bought an old house,অর্জুন একটি পুরানো বাড়ি কিনেছে
i eat rice,আমি ভাত খাই
rohan eats rice,রোহন ভাত খায়
puja eats mango,পূজা আম খায়
i play football,আমি ফুটবল খেলি
arjun plays football,অর্জুন ফুটবল খেলে
rohan plays cricket,রোহন ক্রিকেট খেলে
puja plays ludo,পূজা লুডো খেলে
learning machine learning is fun,মেশিন লার্নিং শেখা মজার
reading books is a good habit,বই পড়া একটি ভালো অভ্যাস
she drinks tea,সে চা পান করে
he reads a book,সে একটি বই পড়ে
they watch television,তারা টেলিভিশন দেখে
we go to school,আমরা স্কুলে যাই
i read a book,আমি একটি বই পড়ি
we eat rice,আমরা ভাত খাই
they play football,তারা ফুটবল খেলে
she plays ludo,সে লুডো খেলে
he drinks tea,সে চা পান করে
rohan drinks water,রোহন জল পান করে
arjun eats mango,অর্জুন আম খায়
we watch television,আমরা টেলিভিশন দেখি
i go to school,আমি স্কুলে যাই
i bought a new computer,আমি একটি নতুন কম্পিউটার কিনেছি
we bought an old house,আমরা একটি পুরানো বাড়ি কিনেছি
rohan bought a red car,রোহন একটি লাল গাড়ি কিনেছে
she bought a blue car,সে একটি নীল গাড়ি কিনেছে
they bought a new house,তারা একটি নতুন বাড়ি কিনেছে
puja bought a book,পূজা একটি বই কিনেছে
i am driving a car,আমি একটি গাড়ি চালাচ্ছি
she is driving a red car,সে একটি লাল গাড়ি চালাচ্ছে
we are eating rice,আমরা ভাত খাচ্ছি
puja is reading a book,পূজা একটি বই পড়ছে
rohan is watching television,রোহন টেলিভিশন দেখছে
arjun is drinking tea,অর্জুন চা পান করছে
playing cricket is fun,ক্রিকেট খেলা মজার
eating mango is a good habit,আম খাওয়া একটি ভালো অভ্যাস
reading books is fun,বই পড়া মজার
learning english is fun,ইংরেজি শেখা মজার
drinking water is a good habit,জল পান করা একটি ভালো অভ্যাস
i like machine learning,আমি মেশিন লার্নিং পছন্দ করি
rohan teaches machine learning,রোহন মেশিন লার্নিং শেখায়
we use machine learning,আমরা মেশিন লার্নিং ব্যবহার করি
they study machine learning,তারা মেশিন লার্নিং পড়ে
puja knows machine learning,পূজা মেশিন লার্নিং জানে
arjun is learning machine learning,অর্জুন মেশিন লার্নিং শিখছে
machine learning is good,মেশিন লার্নিং ভালো